pose_id,x,y,z,binding_energy,probe_type,vdw_energy,electrostatic_energy,site_type
pfpkii_pose_0000,17.351033649327242,-13.256614575001665,17.732831986511957,-5.75466532553784,benzene,-4.188746415654711,-1.3399723112898068,allosteric
pfpkii_pose_0001,9.242390455264292,16.010389314104994,19.33917048336301,-8.804504723527554,acetonitrile,-6.26759957986738,-2.694803517801538,kinase
pfpkii_pose_0002,-4.448720052902171,11.20873450650708,28.735854579171324,-7.633387521258457,ethanol,-5.423073540923988,-2.2182407933594788,phosphatase
pfpkii_pose_0003,27.174652751500524,22.5702851253268,18.720162444425704,-3.679477811347296,cyclohexane,-2.9405596141120456,-1.307516314486727,kinase
pfpkii_pose_0004,-6.007952887816111,5.552559858875029,27.199962293015073,-4.467615479105294,dimethylether,-2.7235931168419185,-1.255400894467426,phosphatase
pfpkii_pose_0005,-4.624257723637396,9.002075101258024,23.80141967286333,-8.6756064426303,cyclohexane,-5.279144374613844,-2.544497376562112,phosphatase
pfpkii_pose_0006,-7.373694660506433,8.638499461478295,25.433880161333995,-7.25283120170213,dimethylether,-4.8102620639034255,-2.1828247952878743,phosphatase
pfpkii_pose_0007,10.84687587165659,16.756824886027346,16.719739323050696,-7.858484852395206,benzene,-5.2858436161854465,-2.4984411539479243,kinase
pfpkii_pose_0008,7.124106881277033,14.556147480407574,20.82790513826547,-6.326756104060173,acetone,-4.573993306059767,-2.855113390118769,kinase
pfpkii_pose_0009,8.147114138328448,16.61171090889442,20.560569807926363,-7.090183238469944,isopropanol,-4.644487768790831,-2.1050518582958797,kinase
pfpkii_pose_0010,-4.234705726714127,8.641450782044213,26.454080488091698,-9.280525171722878,dimethylether,-6.2007432399614615,-2.3822423140955533,phosphatase
pfpkii_pose_0011,-7.103461386535168,11.36145950417074,22.208848676034027,-6.566040350889813,cyclohexane,-5.172120129263218,-2.0433221739168306,phosphatase
pfpkii_pose_0012,18.008152962144354,-10.553637236742501,17.23905010623469,-7.298177382616051,acetonitrile,-4.83557101218395,-2.216797200755027,allosteric
pfpkii_pose_0013,10.379612294423454,17.457493194804776,19.899159815577374,-7.879565584813789,acetonitrile,-5.200347464987819,-2.3827211144290876,kinase
pfpkii_pose_0014,-2.533736314245408,13.8252178174244,22.5044819985581,-5.626207648609295,phenol,-5.233200660919834,-2.0011587029715514,phosphatase
pfpkii_pose_0015,-2.950013955585631,12.32665821044996,24.36611280724162,-7.584763112650736,acetonitrile,-5.684766611738008,-2.195886222481987,phosphatase
pfpkii_pose_0016,10.006279244196179,10.78967662113433,18.218865776904146,-5.842606912197641,acetonitrile,-4.6511850955540694,-1.7569198311015148,kinase
pfpkii_pose_0017,9.476793450324536,17.81944816170123,21.838000954350953,-8.167852732954744,acetonitrile,-4.823465596779562,-1.999679073956501,kinase
pfpkii_pose_0018,-6.348205837359751,6.601747469551168,13.940668558213147,-5.4111575136160495,ethanol,-3.506914359683058,-1.5694428797000528,phosphatase
pfpkii_pose_0019,8.93227038772439,20.37704703603172,20.016407131460856,-5.354403654837686,cyclohexane,-2.9378276489122084,-1.371616344185151,kinase
pfpkii_pose_0020,9.193371953618843,17.635760993126397,20.603072014735336,-6.860101509878741,acetonitrile,-4.668846549875159,-2.340708236526764,kinase
pfpkii_pose_0021,9.790475579518809,16.36315484357146,21.78539097348163,-7.261847009239814,acetonitrile,-5.399734754384638,-2.2991359279318337,kinase
pfpkii_pose_0022,-6.995891357258337,11.3397734162456,28.659153439900695,-6.773699737469064,acetonitrile,-5.025209029938702,-1.9053520702914803,phosphatase
pfpkii_pose_0023,-6.784968108259246,9.025240221093236,20.500828858831305,-6.144113708094069,phenol,-4.516717558199818,-1.7395247998747185,phosphatase
pfpkii_pose_0024,-3.8666207005152198,6.585301536873568,23.63061546646223,-6.488412537738157,acetone,-4.277306071087115,-1.5187721117250412,phosphatase
pfpkii_pose_0025,-7.525140152755658,7.376242739449883,26.42715623160509,-6.673599408704372,ethanol,-4.912884341647707,-2.1147717224118336,phosphatase
pfpkii_pose_0026,10.83583458606813,22.70956503281656,16.64222164655548,-4.445048970711533,phenol,-3.683802827689579,-0.9939135707348337,kinase
pfpkii_pose_0027,-1.0830347493530499,8.079703473563914,24.872202665681986,-5.052518049620916,dimethylether,-3.2723168925336994,-1.1131354801163171,phosphatase
pfpkii_pose_0028,22.577219017021466,-8.931827213219295,15.96254036048786,-6.995741591482373,benzene,-4.866577477135373,-1.761743432121962,allosteric
pfpkii_pose_0029,26.551131472313937,-7.70439187300611,15.093432847309977,-6.175178389198846,ethanol,-4.820427552786984,-1.8834701432236751,allosteric
pfpkii_pose_0030,9.57896870447816,20.622639755673568,18.322488154414927,-6.434885732290573,phenol,-5.266237815747417,-1.8212623892099686,kinase
pfpkii_pose_0031,18.068930459010122,-11.415186435437342,11.068652353251421,-4.906054810976693,cyclohexane,-2.8297325299904057,-1.833667833282215,allosteric
pfpkii_pose_0032,7.273295078775716,12.953335199119918,25.351133566730468,-4.8353722328691715,dimethylether,-3.6263795323248456,-1.5527180019885043,kinase
pfpkii_pose_0033,-6.11088720904945,12.782147158801852,20.22466915722451,-3.562097836935114,ethanol,-1.5654909335733707,-0.9571307521866079,phosphatase
pfpkii_pose_0034,10.184480540229023,13.27745536867927,18.890910141052274,-6.5787231931761845,isopropanol,-4.938097037654804,-1.6411888060556679,kinase
pfpkii_pose_0035,-5.9209355621571556,11.379844234120709,20.481632093323988,-6.47835338397733,acetone,-3.1617151526003147,-2.0092201282638102,phosphatase
pfpkii_pose_0036,15.479518711088259,-7.520155496967772,12.441589428104741,-6.449618325668214,ethanol,-4.868369233949736,-2.3797631580817775,allosteric
pfpkii_pose_0037,9.188737279621005,20.703462998517715,13.195765253945074,-5.594145281920569,acetonitrile,-2.9218022840275646,-1.8601353826824987,kinase
pfpkii_pose_0038,-5.207347412871236,11.461193098902308,27.87544799471796,-8.668926046409988,dimethylether,-5.575748741860307,-2.6247972268455944,phosphatase
pfpkii_pose_0039,21.187448476335568,-12.787495471933687,14.13423343463522,-6.713072483388482,acetone,-4.5753874939710935,-2.284196568247541,allosteric
pfpkii_pose_0040,9.732353199449138,15.76430825736383,20.547907333583908,-9.663085843521625,acetonitrile,-7.129348781400279,-3.0132667607558257,kinase
pfpkii_pose_0041,11.75715017745942,14.939270031125467,20.907840197881548,-7.774101736333732,isopropanol,-5.172362593394249,-1.883362937364872,kinase
pfpkii_pose_0042,8.19025730888412,16.675946164380804,19.399405588580624,-7.935856846628765,ethanol,-5.526247858184062,-2.9010159524585974,kinase
pfpkii_pose_0043,9.955752530642844,11.971846693697598,18.432797473838207,-6.305800633895979,acetone,-3.9348465941973783,-1.2728685841609364,kinase
pfpkii_pose_0044,-7.56819422463596,8.650325873390862,24.71780280786212,-6.550252849397617,acetone,-5.2245931713400635,-2.2133355773417187,phosphatase
pfpkii_pose_0045,14.586127243255426,15.369113455195386,20.069234028995957,-6.426252067887614,phenol,-5.148456492317087,-2.4334710034081133,kinase
pfpkii_pose_0046,25.24912808248326,-2.747185938614003,13.781379990737143,-5.920343753442052,dimethylether,-4.308960896362443,-1.6266037489276388,allosteric
pfpkii_pose_0047,8.194462628794648,14.892101913970926,11.92039084416795,-4.303833578389377,benzene,-2.854183156747367,-0.886539323017562,kinase
pfpkii_pose_0048,9.894444523684717,17.141772082290593,12.504411770151838,-6.483365913905169,dimethylether,-3.9827372712824194,-1.71052330952264,kinase
pfpkii_pose_0049,-6.373900724706476,8.587680482341979,24.221359827988742,-8.050432032219115,dimethylether,-5.950368667562639,-2.2948833465345295,phosphatase
pfpkii_pose_0050,9.15302132193625,15.464436759559394,15.143100872105718,-6.990438696237412,dimethylether,-4.884590932599965,-2.17902800734501,kinase
pfpkii_pose_0051,10.910916160974379,12.728012062663229,18.73018471689247,-8.50873077259081,cyclohexane,-5.9512500896440335,-2.394086122113803,kinase
pfpkii_pose_0052,-0.5125386721113299,8.763795147738623,25.03026157215014,-5.349518223492633,isopropanol,-3.483436928211604,-1.4037791052670203,phosphatase
pfpkii_pose_0053,-3.5223898666771003,11.31870878674478,29.194234781315707,-7.351351582153134,ethanol,-5.595831774670243,-1.8559326039614743,phosphatase
pfpkii_pose_0054,20.19697692623694,-4.885961901043333,9.723690060576338,-4.8377663689446555,cyclohexane,-3.86737631747099,-1.0867696862019416,allosteric
pfpkii_pose_0055,11.045326289893149,16.564380458388545,18.480049274790453,-6.803455428240037,phenol,-4.498947483951973,-2.4128643428535,kinase
pfpkii_pose_0056,20.67912972715084,-10.065222900090491,16.73538813833482,-7.955997125734377,acetone,-4.881611231926854,-2.714983985367029,allosteric
pfpkii_pose_0057,24.04061367157379,-10.423763717196271,13.092490211040001,-7.851954880720278,benzene,-5.618463727941919,-2.38642634820547,allosteric
pfpkii_pose_0058,-5.594644020347637,10.873745308398915,24.047287056141727,-9.522990536338183,benzene,-6.1415677639659325,-2.465127850504721,phosphatase
pfpkii_pose_0059,12.441580340794129,9.547346788261635,17.68240605309491,-4.894127215442473,benzene,-3.182545864547825,-1.0953522670572329,kinase
pfpkii_pose_0060,8.250090068412756,8.524700266103164,21.027061826063882,-6.790248604829329,ethanol,-4.452861665445805,-2.1571670278120645,kinase
pfpkii_pose_0061,10.048583466472383,13.025263097451255,16.27900186696106,-6.902536003806579,acetone,-4.6402531295492135,-2.217684311805581,kinase
pfpkii_pose_0062,22.18950370935226,10.8620072860162,19.707949599638336,-3.8770940460305403,benzene,-3.502386260581286,-1.3216891356960767,kinase
pfpkii_pose_0063,-4.046643456451108,8.186483655453163,22.853376372475953,-7.564753733591227,cyclohexane,-5.18887843062958,-2.3256344781593272,phosphatase
pfpkii_pose_0064,-5.282529665062919,14.20051729134989,18.47165725546654,-5.096826811161543,benzene,-3.2309255683847553,-1.2836672597911898,phosphatase
pfpkii_pose_0065,11.044643750273272,6.444336264919084,16.334045094567163,-4.600953457223427,isopropanol,-3.52795868564226,-2.1118470731529038,kinase
pfpkii_pose_0066,8.343307950439486,18.903098692962576,14.154299594335502,-4.798985286871549,cyclohexane,-2.4612988547507078,-1.7096607115252862,kinase
pfpkii_pose_0067,-0.803543072293087,8.046602189985045,24.92271191490447,-6.535591459765674,acetonitrile,-4.157227971626995,-1.3026161199743174,phosphatase
pfpkii_pose_0068,23.516913824335646,-10.331256987133663,15.236980948236198,-7.295464166489974,dimethylether,-4.98627847757656,-1.7984278721858882,allosteric
pfpkii_pose_0069,20.3910431037351,-9.889067844177376,16.172787055309026,-8.067986533583149,dimethylether,-4.200214633905027,-2.791542945801612,allosteric
pfpkii_pose_0070,20.38817310901115,-7.728529225932782,17.614465762690077,-7.6785771630649196,acetone,-5.8457666330543505,-2.261465032429234,allosteric
pfpkii_pose_0071,-6.732899234378776,11.759030694014474,20.83414484825305,-7.686173051472093,phenol,-4.494713152706758,-1.9733855989064624,phosphatase
pfpkii_pose_0072,-2.5417870342567226,13.429908788713988,28.72157510554038,-6.299597513572436,benzene,-4.285987420341418,-1.924734362240916,phosphatase
pfpkii_pose_0073,21.227884581994623,-9.76469401910884,13.14861324699009,-8.182141927686901,acetone,-5.314095539969021,-3.0170216087899027,allosteric
pfpkii_pose_0074,11.2779736296426,14.091487385596611,21.87284578564858,-9.29746352427599,acetonitrile,-6.7427874561271635,-2.858731047229219,kinase
pfpkii_pose_0075,20.807510317955348,-8.905671384021952,14.598782571266218,-7.212478248064636,acetonitrile,-5.021495088141781,-2.036899438140592,allosteric
pfpkii_pose_0076,8.115259571013485,14.368224793050418,21.196056872097287,-7.317204883428736,acetonitrile,-4.795480720174093,-2.379184388255992,kinase
pfpkii_pose_0077,8.724035042216165,12.211590374974731,18.62053369278204,-7.424801271578148,acetonitrile,-5.208400746252703,-2.35139833462257,kinase
pfpkii_pose_0078,13.786525003207032,13.953616217434627,19.649824278980425,-5.214648801237226,dimethylether,-3.1965584160349274,-2.005710066296502,kinase
pfpkii_pose_0079,3.7006097231066595,13.975494239272816,17.50140644839522,-5.390472842460491,phenol,-4.533224760880241,-1.3944017170273144,kinase
pfpkii_pose_0080,11.336203700551984,15.548768413105371,17.494003236362627,-10.386823899273415,dimethylether,-6.828424860746189,-3.2640853438311175,kinase
pfpkii_pose_0081,-2.695743553613412,5.541820274344598,26.133940084552602,-5.101687591716839,isopropanol,-3.7888773864920746,-1.5641507477155476,phosphatase
pfpkii_pose_0082,-3.015941356592519,9.067565366324423,25.064101346414812,-8.020074946472121,phenol,-5.475641603520426,-2.479140333607742,phosphatase
pfpkii_pose_0083,15.647361281148335,-9.807565387698599,17.65499880920471,-4.497329540788338,acetone,-3.194061553472502,-1.6612695906582378,allosteric
pfpkii_pose_0084,11.289327464704407,12.207785677918501,18.733991122951142,-6.2609311831569245,cyclohexane,-4.560831700308743,-1.7680501809859186,kinase
pfpkii_pose_0085,-4.041232898974118,5.798117070099076,31.373536671233467,-6.245030858494787,ethanol,-4.147005723213376,-1.5857541629123182,phosphatase
pfpkii_pose_0086,12.690015960849065,15.869965476524683,21.335611634923605,-8.307138644614083,acetone,-6.404617782571471,-2.6869326581729807,kinase
pfpkii_pose_0087,8.364623543958057,11.811938495272871,24.256433910638314,-6.474193432506031,ethanol,-3.5906163668785407,-1.8079330266662992,kinase
pfpkii_pose_0088,-1.1486566055903733,4.901159887571046,22.286033668720375,-6.95656607268044,acetone,-5.242284275972084,-2.2864862702483575,phosphatase
pfpkii_pose_0089,4.757282350505114,10.727743537139913,20.847192591959818,-4.467773144171211,acetonitrile,-2.8904120782270732,-1.0467481581898133,kinase
pfpkii_pose_0090,11.39174946004488,12.17382283757044,21.56644147002768,-4.9753720870801,cyclohexane,-4.115309301398174,-1.4955757898922095,kinase
pfpkii_pose_0091,16.95673779217013,18.24568325327964,19.512623235090437,-4.821266021729498,acetone,-4.069082516961169,-1.453956621896518,kinase
pfpkii_pose_0092,-6.741299960684106,10.068360521393316,27.179827240948924,-8.078597628556107,isopropanol,-4.804351134780342,-2.503210322451899,phosphatase
pfpkii_pose_0093,-0.10730646373966057,13.920120571646446,23.588650331892378,-3.971571563783776,isopropanol,-3.0306147398399204,-0.6705639129058331,phosphatase
pfpkii_pose_0094,17.033952814927574,14.061775286737836,22.391405348623394,-6.059409775971059,acetone,-3.7127560907277006,-1.42884755097938,kinase
pfpkii_pose_0095,15.91964849725277,17.694315844448084,18.322690233395463,-6.6991405959155506,acetone,-4.549203022591149,-1.57303719535946,kinase
pfpkii_pose_0096,-5.153326754863924,11.818103251396927,27.619987168764535,-6.811923384096639,ethanol,-4.500187482429725,-2.129239330145197,phosphatase
pfpkii_pose_0097,22.645915336267308,-5.7536045518230905,17.582949216941707,-4.691820222189139,benzene,-2.8838975545378225,-1.3340954950604913,allosteric
pfpkii_pose_0098,-6.216106631012996,10.135389992212291,23.426130373120312,-8.838298826682584,dimethylether,-6.643317440760213,-2.658237387861335,phosphatase
pfpkii_pose_0099,11.881691250744234,17.679309757754176,15.82674805373765,-5.89973621198155,benzene,-4.272437071266337,-1.801323377135308,kinase
pfpkii_pose_0100,26.59869605785344,-5.146956773837393,19.28199932337469,-6.027631668777419,cyclohexane,-4.102595764646956,-1.9928736051215672,allosteric
